question,doc_id,chunk_id,para_ids
What challenges might institutions face when modeling foreign exchange positions in their internal models?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
Under what conditions can a financial institution leave out banking book foreign exchange positions from its internal model?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
What must institutions prove to the ECB regarding their internal model for it to be approved for market risk?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
How should banking book foreign exchange exclusions be handled compared to those from the regulatory trading book?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
What method is used to modify probability of default estimates to align with long-term average default rates for a specific segment or portfolio?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
How does the calibration sample differ between the 'TTC B' and 'TTC C' approaches?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
"In cases where historical grades for all borrowers cannot be assessed, what process is recommended for evaluating those grades?",ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
What does the 'TTC E' approach involve regarding the evaluation of grades and pools at specific points in time?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
What types of hedges must be factored into the Value at Risk assessment according to the specified regulation?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
Which hedging instruments are required to be accounted for when calculating hypothetical and actual profit and loss for validation purposes?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
"In the context of regulatory capital requirements, what should be included in the risk assessment calculations for certain hedges?",ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
How should hedges that do not meet the criteria for regulatory capital valuation adjustments be treated in performance testing?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
What must organizations provide evidence for regarding their internal model's assumptions?,ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
How can the ECB influence the evaluation of risk factor distributions in internal models?,ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
