question,doc_id,chunk_id,para_ids
What challenges may institutions face when modelling banking book FX positions in the internal model?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
Under what condition will the ECB grant permission to use internal models for market risk?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
What must institutions demonstrate to the ECB if they wish to exclude banking book FX positions from the internal model?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
How should banking book FX exclusions be treated if the internal model covers a significant share of the FX risk category?,ecb_gim_2024,fb919f0a-f65d-5629-9a3a-03d1c1ec8ca6,15
What is the purpose of the two-step approach for calibration in PD estimation?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
What does 'TTC B' calibration require for own funds requirements calculation?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
How does 'TTC C' calibration differ from 'TTC B' calibration?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
What is required for the ranking method when assessing grades historically for only part of the observation period?,ebagl_2017_16,2037fef9-6258-5008-9d25-6a23eeed36c6,
What type of hedges should be included in the VaR calculation according to Article 386(3) of the CRR?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
Are hedges that are not eligible for regulatory CVA included in the hypothetical P&L calculation?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
What must be included in the actual P&L for back-testing as per the ECB Guide to Internal Models?,ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
"According to the ECB Guide to Internal Models, which hedges are considered in the scope of calculation for back-testing?",ecb_gim_2024,328cf493-165f-581a-9cb5-c1f2151f2ea5,55
What must institutions demonstrate regarding the assumptions made within the internal model according to Article 369(1) of the CRR?,ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
What type of data should institutions use to demonstrate the appropriateness of assumptions about the distribution of risk factors in VaR and sVaR models?,ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
"According to Article 368(1)(f) of the CRR, what is required for an internal model in terms of measuring risks?",ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
What must institutions demonstrate when using Monte Carlo simulations to compute VaR and sVaR?,ecb_gim_2024,0fad645a-0794-5064-8a3f-65677d5b7fc6,"103,104"
What criteria must be included in the data for calculating default rates?,ebagl_2017_16,46db0785-4ffd-52c5-a7b7-1c3363741e4a,
Why should institutions take into account all defaults with respect to the relevant type of exposures?,ebagl_2017_16,46db0785-4ffd-52c5-a7b7-1c3363741e4a,
What should institutions do if relevant risk drivers or rating criteria are missing?,ebagl_2017_16,46db0785-4ffd-52c5-a7b7-1c3363741e4a,
What additional data must be available for identifying non-defaulted exposures at the beginning of a one-year observation period?,ebagl_2017_16,46db0785-4ffd-52c5-a7b7-1c3363741e4a,
What types of exposures do paragraphs 37 to 43 apply to?,ecb_gim_2024,0c0e16d9-cefa-55bb-ac31-660e7c9508eb,37
What are collective investment undertakings (CIUs) referred to in the passage?,ecb_gim_2024,0c0e16d9-cefa-55bb-ac31-660e7c9508eb,37
Which financial instruments are included in the definition of 'positions in CIUs'?,ecb_gim_2024,0c0e16d9-cefa-55bb-ac31-660e7c9508eb,37
Do the regulations mentioned apply to derivative instruments with CIUs as underlying assets?,ecb_gim_2024,0c0e16d9-cefa-55bb-ac31-660e7c9508eb,37
What may influence the accuracy of the estimates in credit-risk regulation?,ebagl_2017_16,f9d10d9a-4f7c-555c-869c-da19d6a269a6,
What should institutions have to ensure good performance of models and their predictive power?,ebagl_2017_16,f9d10d9a-4f7c-555c-869c-da19d6a269a6,
What are the two sub-sections into which the requirements for data representativeness are split?,ebagl_2017_16,f9d10d9a-4f7c-555c-869c-da19d6a269a6,
What must institutions include in the calculation of long-run average LGD for LGD calibration?,ebagl_2017_16,f9d10d9a-4f7c-555c-869c-da19d6a269a6,
What is the title of the Commission Delegated Regulation mentioned in the passage?,ecb_gim_2024,bd999add-d9e0-5375-a012-51346e8a0008,
What is the date of the Commission Delegated Regulation (EU) No 529/2014?,ecb_gim_2024,bd999add-d9e0-5375-a012-51346e8a0008,
Which regulation does Commission Delegated Regulation (EU) No 529/2014 supplement?,ecb_gim_2024,bd999add-d9e0-5375-a012-51346e8a0008,
What is the purpose of Commission Delegated Regulation (EU) No 529/2014?,ecb_gim_2024,bd999add-d9e0-5375-a012-51346e8a0008,
What should institutions and creditors have to assess a borrower's ability to service and repay financial commitments?,ebagl_2020_06,c150f832-a3cf-5291-b2ac-9265f5a47859,"90,91,92"
What type of information should supplement the single customer view according to the guidelines?,ebagl_2020_06,c150f832-a3cf-5291-b2ac-9265f5a47859,"90,91,92"
What documentation should institutions and creditors request from a borrower likely to face financial difficulties?,ebagl_2020_06,c150f832-a3cf-5291-b2ac-9265f5a47859,"90,91,92"
What information is necessary for institutions and creditors to assess a guarantee from third parties?,ebagl_2020_06,c150f832-a3cf-5291-b2ac-9265f5a47859,"90,91,92"
What does the ECB require regarding the modeling of collateral in relation to exposure value calculation according to Article 285(6) of the CRR?,ecb_gim_2024,a28c8a14-5919-5095-8b83-0654412fe25c,39
How should the collateral value changes over time and during the MPOR be determined?,ecb_gim_2024,a28c8a14-5919-5095-8b83-0654412fe25c,39
What aspects of the IMM's general modelling features must be used for both the calculation of transactions' value changes and collateral value changes?,ecb_gim_2024,a28c8a14-5919-5095-8b83-0654412fe25c,39
